contig_id	cluster_id
CP144183.1	0
CP144184.1	1
CP144185.1	2
CP144186.1	3
CP144187.1	4
CP144188.1	5
CP144189.1	6
CP144190.1	7
CP144191.1	0
CP144192.1	1
CP144193.1	2
CP144194.1	3
CP144195.1	4
CP144196.1	5
CP144197.1	6
CP144198.1	7
